name,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
Antoniadou Alexandra,Greece,,,34,3. 11. 1991,,,,,woman,right
Carr Simon,Ireland,183,77,26,7. 11. 1999,-,512,-,507,man,right
Bolat Amina,Kazakhstan,,,21,1. 1. 2005,,,,,woman,right
Wildgruber Anja,Germany,,,24,4. 3. 2002,852,658,641,615,woman,right
Lim Sze Xuan,Malaysia,,,,,,,,,woman,right
Lehnhoff Jessica,Guatemala,,,45,15. 3. 1980,-,167,-,106,woman,right
Dolgova Polina,Kazakhstan,,,,,,,,,woman,
Visscher Stephanie Judith,Netherlands,,,26,25. 1. 2000,456,361,319,255,woman,right
Adedeji Ademola,Nigeria,,,41,28. 7. 1984,,,,,man,right
Sun Yingqun,China,,,,,938,813,916,767,woman,right
Chuiko Kirill,Belarus,,,28,19. 4. 1997,,,,,man,right
Abbasi Roham,Iran,,,,,,,,,man,right
Almudahka Hind,Qatar,,,17,4. 9. 2008,,,,,woman,right
Mbugua Paige Wanjiku,Kenya,,,31,21. 2. 1995,,,,,woman,right
Price Pelaez Salvador,Colombia,,,21,19. 2. 2005,923,911,1815,1556,man,right
De Cesare Helen,Thailand,,,31,22. 9. 1994,-,1082,-,1047,woman,right
Esorae Nosa,Nigeria,,,47,12. 10. 1978,-,1286,-,1011,woman,right
Alberti Debii,Argentina,,,34,28. 9. 1991,,,,,woman,right
Beck Ava,Australia,,,,,1357,1343,,,woman,right
Lencina Stela Maria,Lithuania,,,17,1. 1. 2009,,,,,woman,right
Susanto Anthony,Indonesia,,,28,23. 5. 1997,1851,1413,1227,983,man,right
Shrestha Nisan,Nepal,,,22,11. 6. 2003,,,,,man,right
Aristizabal Londono Liz Melanie,Colombia,,,24,12. 3. 2002,,,,,woman,right
Ben Ghachem Mohamed,Tunisia,,,38,28. 1. 1988,,,,,man,right
Kusuhara Yusuke,Japan,,,28,9. 8. 1997,649,638,244,239,man,right
Alcocer Signoret Jose Luis,Mexico,,,25,6. 11. 2000,,,,,man,right
Pirohova Dominika,Slovakia,,,20,1. 1. 2006,1483,1397,1041,854,woman,right
Boccard Alize,Switzerland,,,30,4. 3. 1996,,,,,woman,right
Aguiar Machado Ines,Portugal,,,29,19. 8. 1996,,,,,woman,right
Klavins Edgars,Latvia,,,47,16. 2. 1979,,,,,man,right
Ben Bekhma Hichem,Algeria,,,43,31. 7. 1982,,,,,man,right
Barbat Alex,Denmark,,,29,16. 9. 1996,,,,,man,right
Arce Kirsch Lorena,Mexico,,,32,8. 9. 1993,,,,,woman,right
Perez Alarcon Lucciana,Peru,,,,,383,365,662,288,woman,right
Baranska Agata,Poland,,,32,23. 12. 1993,-,812,-,461,woman,right
Radulovic Djordje,Yugoslavia,,,48,9. 12. 1977,,,,,man,right
Murtaza Muzammil,Pakistan,,,26,12. 11. 1999,1444,1365,1098,1096,man,right
Akiki Indire,Croatia,,,34,25. 6. 1991,-,406,-,545,woman,right
Champamanivong Phonesamai,Laos,,,30,15. 8. 1995,,,,,woman,right
