rank,name,country_name,country_id,active,value,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
85,Marco Cecchinato,Italy,ITA,False,178 km/h,Italy,185.0,78.0,33.0,30. 9. 1992,225,16.0,-,79.0,man,right
86,Daniel Evans,United Kingdom,GBR,False,178 km/h,Great Britain,175.0,75.0,35.0,23. 5. 1990,202,21.0,1189,28.0,man,right
87,James Duckworth,Australia,AUS,False,177 km/h,Australia,183.0,82.0,34.0,21. 1. 1992,83,46.0,359,100.0,man,right
89,Elias Ymer,Sweden,SWE,False,177 km/h,Sweden,183.0,79.0,29.0,10. 4. 1996,174,105.0,-,188.0,man,right
90,Tommy Paul,United States,USA,False,177 km/h,USA,185.0,82.0,28.0,17. 5. 1997,24,8.0,511,52.0,man,right
93,Lorenzo Musetti,Italy,ITA,False,176 km/h,Italy,185.0,75.0,24.0,3. 3. 2002,5,5.0,87,85.0,man,right
94,Fabian Marozsan,Hungary,HUN,False,176 km/h,Hungary,,,26.0,8. 10. 1999,46,36.0,352,336.0,man,right
95,Facundo Bagnis,Argentina,ARG,False,176 km/h,Argentina,183.0,82.0,36.0,27. 2. 1990,386,55.0,-,78.0,man,left
96,Marton Fucsovics,Hungary,HUN,False,176 km/h,Hungary,188.0,82.0,34.0,8. 2. 1992,56,31.0,-,54.0,man,right
97,Miomir Kecmanovic,Serbia,SRB,False,176 km/h,Serbia,183.0,75.0,26.0,31. 8. 1999,58,27.0,895,41.0,man,right
98,Illya Marchenko,Ukraine,UKR,False,176 km/h,Ukraine,185.0,82.0,38.0,8. 9. 1987,1687,49.0,-,176.0,man,right
101,Yannick Hanfmann,Germany,GER,False,175 km/h,Germany,193.0,86.0,34.0,13. 11. 1991,65,45.0,-,81.0,man,right
103,Ugo Humbert,France,FRA,False,175 km/h,France,188.0,73.0,27.0,26. 6. 1998,34,13.0,-,30.0,man,left
110,Nikoloz Basilashvili,Georgia,GEO,False,174 km/h,Georgia,185.0,79.0,34.0,23. 2. 1992,133,16.0,-,39.0,man,right
111,Ilya Ivashka,Belarus,BLR,False,174 km/h,Belarus,193.0,84.0,32.0,24. 2. 1994,701,40.0,-,108.0,man,right
112,Alex Michelsen,United States,USA,False,174 km/h,USA,,,21.0,25. 8. 2004,44,30.0,92,67.0,man,right
113,Aljaz Bedene,Slovenia,SLO,False,174 km/h,Slovenia,183.0,73.0,36.0,18. 7. 1989,-,43.0,-,58.0,man,right
115,Stefano Travaglia,Italy,ITA,False,173 km/h,Italy,185.0,80.0,34.0,28. 12. 1991,166,60.0,366,63.0,man,right
116,Richard Gasquet,France,FRA,False,173 km/h,France,183.0,79.0,39.0,18. 6. 1986,375,7.0,-,45.0,man,right
117,Ricardas Berankis,Lithuania,LTU,False,173 km/h,Lithuania,175.0,77.0,35.0,21. 6. 1990,596,50.0,1351,69.0,man,right
119,Federico Coria,Argentina,ARG,False,173 km/h,Argentina,180.0,73.0,34.0,9. 3. 1992,537,49.0,-,91.0,man,right
121,Marcos Giron,United States,USA,False,172 km/h,USA,180.0,77.0,32.0,24. 7. 1993,69,37.0,586,70.0,man,right
122,Daniel Altmaier,Germany,GER,False,172 km/h,Germany,191.0,88.0,27.0,12. 9. 1998,55,44.0,-,130.0,man,right
